study_hours_per_day,prep_days_before_exam,attendance_percentage,internal_marks,internal_marks_weight,subject_difficulty,study_material_source,past_performance,self_study_or_coaching,motivation_level,doubt_resolution_time,exam_anxiety_level,final_exam_marks
3.03,9.0,77.83,71.78,0.38,3.0,Textbooks,70.11,Coaching,4.0,11.35,3.0,42.5
2.66,27.0,97.65,73.44,0.42,4.0,YouTube,37.54,Coaching,3.0,2.32,3.0,48.2
3.92,24.0,89.6,68.89,0.54,3.0,Coaching,37.94,Self-study,3.0,9.29,4.0,59.1
3.73,1.0,82.37,54.45,0.6,4.0,YouTube,65.74,Self-study,5.0,3.26,3.0,46.3
1.98,16.0,93.56,50.52,0.43,3.0,Notes,68.07,Self-study,4.0,6.37,3.0,55.7
3.47,22.0,91.25,81.62,0.61,,Textbooks,59.79,,5.0,7.52,4.0,69.2
7.36,30.0,52.5,43.47,0.68,4.0,Coaching,,Self-study,3.0,0.68,2.0,72.5
3.96,18.0,86.53,91.21,0.83,1.0,YouTube,69.52,Coaching,5.0,10.0,2.0,88.5
5.67,14.0,73.12,79.76,0.85,1.0,Textbooks,79.96,Coaching,4.0,2.83,3.0,83.5
1.7,6.0,90.21,51.04,0.33,3.0,Textbooks,61.06,Self-study,1.0,2.37,4.0,32.7
3.42,,80.41,75.91,0.59,4.0,Textbooks,85.96,,3.0,1.25,1.0,69.0
4.21,0.0,89.41,88.95,0.71,1.0,Notes,64.16,Coaching,5.0,7.75,3.0,67.9
4.09,21.0,70.43,64.7,0.33,4.0,YouTube,56.1,Coaching,3.0,6.22,4.0,45.4
4.23,18.0,69.7,85.59,0.37,4.0,YouTube,85.76,Self-study,4.0,3.57,5.0,57.0
4.27,16.0,93.64,77.3,0.63,1.0,YouTube,68.86,Coaching,4.0,7.16,3.0,78.4
3.43,5.0,92.98,90.94,0.26,,Notes,57.38,Group study,3.0,4.92,3.0,49.6
4.19,19.0,68.47,69.69,0.25,2.0,Textbooks,56.69,Self-study,3.0,7.0,4.0,43.2
,0.0,76.66,67.99,0.1,1.0,Coaching,48.37,Self-study,4.0,7.64,1.0,40.0
4.11,21.0,78.88,65.3,0.32,1.0,YouTube,73.26,Group study,2.0,5.11,3.0,51.9
6.28,31.0,86.91,87.59,0.54,3.0,Textbooks,68.54,Coaching,3.0,5.73,2.0,74.6
3.63,17.0,77.95,87.97,0.31,2.0,Coaching,,Group study,5.0,8.94,1.0,55.9
4.84,1.0,89.07,72.14,0.22,3.0,Textbooks,91.22,Coaching,3.0,8.15,2.0,51.2
7.63,8.0,82.24,61.19,0.43,3.0,Textbooks,79.0,Self-study,4.0,0.0,2.0,62.7
1.08,0.0,86.34,77.42,0.88,3.0,Coaching,68.08,Coaching,2.0,4.93,4.0,52.5
4.91,6.0,82.41,81.88,0.52,3.0,Textbooks,61.8,Self-study,2.0,5.42,1.0,60.3
3.32,0.0,91.24,79.44,0.32,4.0,Textbooks,65.69,Coaching,4.0,9.72,4.0,43.6
3.0,26.0,89.04,,0.65,3.0,Coaching,,,3.0,8.77,5.0,62.3
4.49,,87.92,71.36,0.9,3.0,Textbooks,88.79,Coaching,4.0,6.43,3.0,91.3
4.01,26.0,87.3,68.4,0.4,2.0,Textbooks,35.83,Self-study,4.0,5.78,1.0,53.8
6.13,17.0,86.2,94.97,0.41,1.0,Textbooks,46.15,Coaching,3.0,7.06,1.0,70.1
2.57,32.0,91.25,61.74,0.54,3.0,Textbooks,68.18,Group study,3.0,4.41,4.0,60.1
0.89,12.0,72.46,63.91,0.67,4.0,Notes,60.68,Coaching,5.0,2.97,4.0,48.9
3.62,2.0,99.33,71.92,0.21,5.0,Coaching,59.88,Coaching,3.0,5.41,1.0,48.1
1.87,1.0,80.94,70.91,0.32,2.0,Notes,68.48,Coaching,3.0,5.85,3.0,31.0
4.38,19.0,83.95,91.22,0.91,2.0,Notes,71.02,Group study,2.0,5.05,3.0,89.5
